Banca,Produs,Categorie,Client_tinta,Eligibilitate,Beneficii_cheie,Perioada_promo
BCR,Credit nevoi personale George,Credit consum,Persoane fizice (angajati),"18-63/65 ani, venit > 1.200 lei, vechime 3-6 luni","Dobanda de la 5,99% fix, 0 comisioane, 100% online",20 mar - 20 iun 2025
BCR,Credit ipotecar Casa Mea,Credit ipotecar,Persoane fizice (achizitie locuinta),"Avans > 15 %, venit stabil, varsta <65 ani la scadenta","Dobanda 5,39% fix 3 ani, pre-approval 90 zile, 1 an asigurare locuinta gratis",Permanent / bonus 2025
BCR,Cont curent George,Cont curent,Persoane fizice,Salariu la BCR sau alimentare 1.000 lei + 1 tranzactie/luna,"0 comisioane plati & retrageri, Moneyback cashback",Permanent
BCR,Card debit George,Card debit,PF (Standard/Gold/Platinum),"Gold > 5.000 lei, Platinum > 10.000 lei venit lunar","Retrageri gratuite worldwide, lounge & asigurare calatorie (Gold+), Moneyback",Permanent / campanii Moneyback
BCR,Card de credit BCR,Card credit,Persoane fizice,"18-64 ani, venit > 1.000 lei, istoric bun","12 rate 0% oriunde, 55 zile gratie, bonus 150 lei",Bonus pana 30 iun 2025
BCR,Asigurare Multi Protect,Asigurare bunuri,Persoane fizice,"18-65 ani, cont George","Protectie dispozitive, prima luna gratuita",Pana 31 aug 2025
BCR,Credit IMM George Smart Business,Credit IMM,IMM / PFA,"CIF activ, rulaj cont BCR","0 comisioane, ROBOR 6L + 2,49%",01 apr - 31 aug 2025
BCR,Depozit promo 6% (5 luni),Depozit,Persoane fizice,"Sume noi, deschidere in George",Dobanda 6% p.a. pe 5 luni,Pana 20 iun 2025
Banca Transilvania,Credit nevoi personale BT,Credit consum,Persoane fizice,"18+ ani, venit stabil, vechime 3 luni", "0 comisioane; aprobare rapida BT Pay", Minim 5.99% din 2025
Banca Transilvania,Credit ipotecar Casa Mea,Credit ipotecar,Persoane fizice,"Avans > 15 %, venit stabil","Dobanda 5,15% fix 3 ani, 0 taxa evaluare & analiza",Bank Friday / recurente
Banca Transilvania,Abonament Salut,Cont curent,PF (venit mic),Incasare > 300 lei/luna,"0 lei/luna, plati gratuite, BT Pay",Permanent
Banca Transilvania,Abonament Student,Cont curent,Studenti / tineri,"Statut student, > 300 lei alimentare","0 lei, asigurare calatorie inclusa",Permanent
Banca Transilvania,Abonament 365,Cont curent,PF standard,N/A,"7 lei/luna, asigurare accident",6 luni gratis Bank Friday
Banca Transilvania,Card credit Star Forte,Card credit,Persoane fizice,"Venit > 1.000 lei, istoric bun","18 rate 0% parteneri, puncte STAR",Bonus 150 lei Bank Friday
Banca Transilvania,Card credit Star Gold,Card credit,PF venit ridicat,Venit > 5.000 lei,"Lounge, asigurare calatorie, puncte STAR",Bonus 250 lei Bank Friday
Banca Transilvania,KidCONT,Cont copii,Copii <14 ani,Parinte titular,"0 comisioane, card Kiddo",Permanent / campanii
Banca Transilvania,NeoBT Credit IMM,Credit IMM,IMM / micro,"Date ANAF, scor pozitiv","Online pana 500k lei, aprobare rapida",Permanent (lansat 2025)
ING,Credit personal ING Personal,Credit consum,Persoane fizice,"18+ ani, venit > salariul minim","Dobanda 5,99%, 0 comisioane, 100% online",Referral 500 lei pana 30 iun 2025
ING,Credit ipotecar ING Ipotecar,Credit ipotecar,Persoane fizice,"Avans > 15 %, venit stabil","Dobanda 4,89% fix 7 ani, evaluare gratuita",Black Friday 2024
ING,Cont Card Complet,Cont curent,Persoane fizice,Salariu > 700 lei+1 tranz./luna sau <24 ani,"0 comisioane, retrageri gratuite, Home'Bank",Permanent
ING,ING Young,Cont tineri,Copii 10-17 ani,Parinte titular,"0 comisioane, card junior, Home'Bank",Permanent
ING,ING Credit Card (Visa Platinum),Card credit,PF venit mediu-ridicat,Venit > 2.000 lei sau pre-aprobare,"3 rate 0% oriunde, cashback Bazar, asigurare calatorie",24 rate 0% BF 2024
ING,Extra'ROL (Overdraft),Descoperit cont,PF salariu ING,"Salariu incasat ING, istoric bun","Limita 6× salariu, dobanda variabila",Permanent
